product_id,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030
P001,1.0,0.06461874664104454,0.001343398425128626,-0.024204294327881362,-0.07625578560264906,0.078950194633556,0.018843267866728415,-0.014912327325855066,0.0022249708677535614,0.11705073395764787,-0.09887626938768942,0.07789275143363254,0.023232549783587467,0.027373597794278313,0.04583207174136117,0.029695656423929104,-0.03664246126562239,0.030981009740024837,0.015297839309396832,0.1254834856709176,-0.012462656270489727,0.0307415238990884,-0.012646618891802342,0.015728321790689812,0.08851380653029693,-0.04295943889726316,0.06057806456470566,0.040101144058122276,0.032640895646816964,-0.029003612266054017
P002,0.06461874664104454,1.0,-0.039577115561740886,0.01393520937107138,-0.05230989432081494,-0.071092557231786,-0.05963348091042034,0.07392359969072278,-0.08737966180913907,-0.02790125948195104,0.020587082427718156,0.025799112597431614,0.08852923271865,0.013888798062458074,0.03721859185411468,-0.011826922421514037,0.06683370319351974,-0.04978850406519735,0.026803287486854233,0.08465322394158789,-0.00036301474405144756,-0.028764026754779286,-0.08477800010090036,0.04972509450371263,0.055159954825270835,0.015231112055329142,0.007592277297187641,-0.03601399329030122,-0.017708024025086547,-0.052557967781496996
P003,0.001343398425128626,-0.039577115561740886,1.0,-0.07124224693648612,0.0028241740700729206,0.03035478851044504,-0.10778994105744422,0.01793059194576567,0.06006817938556938,-0.060155317689377555,-0.07235667272631782,0.0930750342703426,-0.009164966823373508,0.013391010852964316,0.0763623122729923,0.028112088607950402,-0.04246562410305403,-0.1250894442610792,-0.022988092796072324,-0.020267878085816496,0.021656573086480953,0.0118273322254676,0.012770896998250769,0.04652184549937439,0.10866970202480537,-0.07243307005874278,0.0362448116052409,0.022316492701969757,0.014599067450870123,-0.07482189624925702
P004,-0.024204294327881362,0.01393520937107138,-0.07124224693648612,1.0,0.0008066086765375422,0.030863078719774544,-0.003561561014992345,-0.06119235367041681,-0.03212421862947348,0.009982254806516986,0.01261475200916546,0.005068273813554801,-0.008823828800346881,0.037696479669362765,-0.10294430373242948,-0.035000549562899635,0.05789071806236006,-0.024381501119970835,-0.02167345699904444,-0.08289972551367514,0.004582880179587044,-0.028486312174766545,-0.03013402532086421,-0.04911658421184877,0.009559837764718212,0.021077698251021338,0.006968651260965595,0.04123137064002701,-0.08172476991029873,-0.03491653265709031
P005,-0.07625578560264906,-0.05230989432081494,0.0028241740700729206,0.0008066086765375422,1.0,0.07345921163412895,-0.013819793046949923,-0.04197703395658146,0.044318345008873695,0.008359651403368251,0.0014057244133054963,-0.060042771673139754,-0.14192939628951576,-0.051295316035804346,0.0918941949444456,-0.026156431374424072,0.03513814422671862,0.0015804658458161726,0.12366437050204113,-0.09205185954840489,-0.004531724046144008,-0.049630327894422906,0.023040132291477933,-0.0512695650907783,0.012893427139526998,0.05376331918430065,-0.09520600287797086,0.016885139445656592,-0.05100646934615532,-0.031764357072048915
P006,0.078950194633556,-0.071092557231786,0.03035478851044504,0.030863078719774544,0.07345921163412895,1.0,0.03102796961132737,-0.07718021599624515,0.06593883686973284,0.028833945611028908,-0.017801806979729454,0.01242543070720017,-0.09100325235699293,0.033873914646189274,0.06470831457755934,0.062104109890900185,-0.07916072395897432,-0.048847591387448576,-0.047855218618927046,-0.02026010514649189,0.023243489838883084,0.013247423593083254,-0.008843072271054915,0.012846344905447895,0.08736459327883032,0.04027883084634341,0.03681801629973697,0.02657327765470936,-0.022341341750171526,0.00483446066167116
P007,0.018843267866728415,-0.05963348091042034,-0.10778994105744422,-0.003561561014992345,-0.013819793046949923,0.03102796961132737,1.0,0.0779987484091386,0.0955314754614308,0.12097979700577254,0.07702316025574636,-0.0078948679163975,0.03781502649267352,-0.1377725814729151,-0.12760608007448526,0.08507433765786308,0.04546582338287376,0.06547735705501107,-0.031218006880009173,-0.06534555279310271,-0.058635025927721636,-0.07091881954355805,-0.023668890432851402,-0.0660678001942713,-0.06705235121625418,0.08587119192787351,-0.056134127552015314,-0.06376098471505441,0.045978189597877,0.07469472937975681
P008,-0.014912327325855066,0.07392359969072278,0.01793059194576567,-0.06119235367041681,-0.04197703395658146,-0.07718021599624515,0.0779987484091386,1.0,-0.054860953807379105,0.014655756185597052,0.009805416543405434,-0.01512088955753805,0.08317399447433617,-0.056557066172978725,-0.04229746810853357,0.021728930127466173,0.026815274188625008,-0.07659310104034003,0.08821586033368109,0.02591317885225319,-0.0777340733415553,-0.04268253705108823,-0.04067180796785058,-0.032441783952903314,0.055188167755488696,-0.06530891862468181,-0.06597233491391485,-0.02409371945052613,-0.028364058730093594,-0.0221313120688069
P009,0.0022249708677535614,-0.08737966180913907,0.06006817938556938,-0.03212421862947348,0.044318345008873695,0.06593883686973284,0.0955314754614308,-0.054860953807379105,1.0,0.06533495983503951,-0.012145091431239336,0.021799787130390273,-0.034290498644037555,-0.07892692965641697,-0.07849894820405458,0.05375422849249887,-0.08547431313216754,-0.046236284851857434,-0.011655859569930087,-0.037307098894375924,-0.030289883788990467,0.038375748730243964,-0.03347880699326024,-0.06165293496549726,-0.051936666621802886,0.025131315681037738,0.04748856219643626,-0.014893786494027617,0.0087512260185584,-0.024141428784709304
P010,0.11705073395764787,-0.02790125948195104,-0.060155317689377555,0.009982254806516986,0.008359651403368251,0.028833945611028908,0.12097979700577254,0.014655756185597052,0.06533495983503951,1.0,-0.02531151289337685,0.02709304917575269,-0.02717333562641475,-0.09806371029347134,-0.12110517257593736,0.059339825009122396,-0.04708762132461193,0.026140241771419003,0.04088752912438382,-0.006240362058529966,0.017316393418724103,-0.08313237807871625,0.02358175171787754,-0.12584492131142724,0.0171859870074433,0.02830511608934475,-0.051846977116583204,-0.10449896674171491,0.03485638334421934,0.040527088923180514
